"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"New Brunswick","Nouveau-Brunswick","2003","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"New Brunswick","Nouveau-Brunswick","2003","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"New Brunswick","Nouveau-Brunswick","2003","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"New Brunswick","Nouveau-Brunswick","2003","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"New Brunswick","Nouveau-Brunswick","2003","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","1637","tonnes","313","tonnes","57","tonnes","19","tonnes","44","tonnes","107","tonnes","143","tonnes","","tonnes","9.6","kg","0.5","kg","0.7","kg","","gTEQ","","g","0.4","kg",
"New Brunswick","Nouveau-Brunswick","2003","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","1261","tonnes","491","tonnes","264","tonnes","668","tonnes","487","tonnes","194","tonnes","369","tonnes","","tonnes","2.1","kg","","kg","1.8","kg","","gTEQ","","g","","kg",
"New Brunswick","Nouveau-Brunswick","2003","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","347","tonnes","189","tonnes","115","tonnes","540","tonnes","442","tonnes","194","tonnes","369","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"New Brunswick","Nouveau-Brunswick","2003","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","94","tonnes","49","tonnes","27","tonnes","128","tonnes","45","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","1.8","kg","","gTEQ","","g","","kg",
"New Brunswick","Nouveau-Brunswick","2003","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","820","tonnes","253","tonnes","123","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","2.1","kg","","kg","","kg","","gTEQ","","g","","kg",
"New Brunswick","Nouveau-Brunswick","2003","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","873","tonnes","974","tonnes","337","tonnes","626","tonnes","249","tonnes","14","tonnes","1","tonnes","","tonnes","","kg","","kg","31.8","kg","","gTEQ","","g","","kg",
"New Brunswick","Nouveau-Brunswick","2003","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Chemical Manufacture","Fabrication de produits chimiques","","tonnes","","tonnes","","tonnes","1","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","31.8","kg","","gTEQ","","g","","kg",
"New Brunswick","Nouveau-Brunswick","2003","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Paint & Varnish Manufacturing","Fabrication de peintures et vernis","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","10","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
